panel_id,panel_description,rank_within_panel,taxon_long,genus,family,species_short
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,1,k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,Methanobrevibacter,Methanobacteriaceae,Methanobrevibacter smithii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,2,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,Actinomyces,Actinomycetaceae,Actinomyces graevenitzii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,3,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,Actinomyces,Actinomycetaceae,Actinomyces naeslundii
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,4,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,Actinomyces,Actinomycetaceae,Actinomyces odontolyticus
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,5,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,Actinomyces,Actinomycetaceae,Actinomyces oris
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,6,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,Actinomyces,Actinomycetaceae,Actinomyces sp HMSC035G02
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,7,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,Actinomyces,Actinomycetaceae,Actinomyces sp HPA0247
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,8,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,Actinomyces,Actinomycetaceae,Actinomyces sp ICM47
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,9,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_S6_Spd3,Actinomyces,Actinomycetaceae,Actinomyces sp S6 Spd3
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,10,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_181,Actinomyces,Actinomycetaceae,Actinomyces sp oral taxon 181
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,11,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila,Aeriscardovia,Bifidobacteriaceae,Aeriscardovia aeriphila
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,12,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens,Alloscardovia,Bifidobacteriaceae,Alloscardovia omnicolens
all_301_retained_species,All retained species after prevalence and cohort-presence filtering.,13,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,Bifidobacterium,Bifidobacteriaceae,Bifidobacterium adolescentis
