guild,taxon,genus,species,present_in_retained_matrix,stable_candidate_yes_no,direction_in_primary_association,rationale,cautionary_note,exploratory_due_to_small_panel
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens,Agathobaculum,Agathobaculum butyriciproducens,True,yes,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_caccae,Anaerostipes,Anaerostipes caccae,True,no,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,Anaerostipes,Anaerostipes hadrus,True,yes,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_dolichum_CAG_375,Eubacterium,Eubacterium dolichum CAG 375,True,no,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,Eubacterium,Eubacterium eligens,True,yes,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,Eubacterium,Eubacterium hallii,True,no,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_limosum,Eubacterium,Eubacterium limosum,True,no,CRC_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,Eubacterium,Eubacterium ramulus,True,no,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_180,Eubacterium,Eubacterium sp CAG 180,True,no,CRC_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
butyrate_SCFA_associated_commensal_panel,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,Eubacterium,Eubacterium sp CAG 251,True,no,control_higher,literature-prior taxonomy-defined panel of commonly discussed butyrate/SCFA-associated commensal genera,taxonomy-name panel only; no direct functional activity or butyrate-production measurement,False
