taxon_long,genus,species_short,n_crc,n_control,prevalence_crc,prevalence_control,median_abundance_crc_percent,median_abundance_control_percent,median_diff_crc_minus_control_percent,coef_crc_clr_adjusted,se_hc3,pvalue,qvalue_bh,direction_adjusted
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,Parvimonas,Parvimonas micra,701,694,0.4108416547788873,0.1253602305475504,0.0,0.0,0.0,2.1325455881719457,0.153389701156556,6.091524866719365e-44,1.8335489848825287e-41,CRC_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,Gemella,Gemella morbillorum,701,694,0.340941512125535,0.0749279538904899,0.0,0.0,0.0,1.6986999184552305,0.1339329569573457,7.32679314777202e-37,1.1026823687396887e-34,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,Peptostreptococcus,Peptostreptococcus stomatis,701,694,0.2938659058487874,0.0461095100864553,0.0,0.0,0.0,1.6306151366295143,0.1338288301711352,3.767191819432243e-34,3.779749125497018e-32,CRC_higher
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,Solobacterium,Solobacterium moorei,701,694,0.2853067047075606,0.0806916426512968,0.0,0.0,0.0,1.3085475945613885,0.1273545420527508,9.149574366459132e-25,6.885054710760497e-23,CRC_higher
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,Fusobacterium,Fusobacterium nucleatum,701,694,0.2268188302425107,0.0244956772334293,0.0,0.0,0.0,1.2369136601497477,0.1206391065203469,1.1471750478476192e-24,6.905993788042667e-23,CRC_higher
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,Dialister,Dialister pneumosintes,701,694,0.2111269614835948,0.0172910662824207,0.0,0.0,0.0,1.3082623693025242,0.1307912616027834,1.483363255097318e-23,7.44153899640488e-22,CRC_higher
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,Porphyromonas,Porphyromonas asaccharolytica,701,694,0.1355206847360913,0.015850144092219,0.0,0.0,0.0,0.789509757706969,0.1116525923601234,1.5367944219067057e-12,6.608216014198833e-11,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,Roseburia,Roseburia intestinalis,701,694,0.5278174037089871,0.6484149855907781,0.00486,0.054705,-0.049845,-1.5743361584329256,0.239818918378511,5.2142238289575705e-11,1.961851715645286e-09,control_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,Streptococcus,Streptococcus salivarius,701,694,0.8017118402282454,0.8789625360230547,0.04942,0.083,-0.03358,-1.0418117518631584,0.1618976274311541,1.2347072256970612e-10,4.129409721497949e-09,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,Lachnoclostridium,Clostridium symbiosum,701,694,0.5249643366619116,0.3472622478386167,0.00189,0.0,0.00189,1.239985496878374,0.1986451817086965,4.3142343645142037e-10,1.2985845437187754e-08,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_303,Roseburia,Roseburia sp CAG 303,701,694,0.0542082738944365,0.1224783861671469,0.0,0.0,0.0,-0.7867926856470572,0.1306940607840047,1.742980573856501e-09,4.7694286611891534e-08,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,Roseburia,Roseburia faecis,701,694,0.62339514978602,0.7161383285302594,0.06651,0.400665,-0.334155,-1.4235654451601911,0.2433533417885325,4.9220011208371905e-09,1.2346019478099954e-07,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,Faecalibacterium,Faecalibacterium prausnitzii,701,694,0.9300998573466476,0.9553314121037464,2.80331,4.20582,-1.40251,-0.8699076308368622,0.1532823638459659,1.3852903857860734e-08,3.2074800470892933e-07,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi,Eisenbergiella,Eisenbergiella tayi,701,694,0.3880171184022825,0.2492795389048991,0.0,0.0,0.0,0.8759761558124657,0.1628759720725704,7.524292981690196e-08,1.617722991063392e-06,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,Eubacterium,Eubacterium eligens,701,694,0.6319543509272468,0.7046109510086456,0.076,0.405775,-0.329775,-1.3306617593783752,0.2488737087104333,8.955500329022113e-08,1.7970703993571038e-06,control_higher
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group,Streptococcus,Streptococcus anginosus group,701,694,0.369472182596291,0.2406340057636887,0.0,0.0,0.0,0.8097442505767353,0.156710282253043,2.3770092101837159e-07,4.471748576658114e-06,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans,Ruthenibacterium,Ruthenibacterium lactatiformans,701,694,0.9087018544935808,0.8573487031700289,0.11412,0.0642349999999999,0.049885,0.7534466174658278,0.1503600427625725,5.41620598349963e-07,9.58987059431405e-06,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Romboutsia|s__Romboutsia_ilealis,Romboutsia,Romboutsia ilealis,701,694,0.1141226818830242,0.1757925072046109,0.0,0.0,0.0,-0.4496082874349492,0.090315822149253,6.418543699074069e-07,1.0733231407896082e-05,control_higher
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila,Aeriscardovia,Aeriscardovia aeriphila,701,694,0.0699001426533523,0.1123919308357348,0.0,0.0,0.0,-0.3773387893440382,0.0764419048462693,7.96260010240668e-07,1.2614434899075846e-05,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi,Hungatella,Hungatella hathewayi,701,694,0.5221112696148359,0.3645533141210375,0.00056,0.0,0.00056,0.8626453108791977,0.1807429065368611,1.817043255758862e-06,2.734650099917087e-05,CRC_higher
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,Bacteroides,Bacteroides fragilis,701,694,0.5877318116975749,0.4711815561959654,0.03212,0.0,0.03212,1.127596415635075,0.2519264238904501,7.609160119778707e-06,0.0001090646283834,CRC_higher
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii,Methanobrevibacter,Methanobrevibacter smithii,701,694,0.3266761768901569,0.2262247838616714,0.0,0.0,0.0,0.8834976839866615,0.2010984197944608,1.116122528760306e-05,0.0001527058550712,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans,Ruminococcus,Ruminococcus bicirculans,701,694,0.4493580599144079,0.5360230547550432,0.0,0.01381,-0.01381,-1.075536834096496,0.250037483899275,1.6964394558583948e-05,0.0002220122940058,control_higher
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,Bifidobacterium,Bifidobacterium catenulatum,701,694,0.0713266761768901,0.1239193083573487,0.0,0.0,0.0,-0.5549360832720062,0.1307187315874423,2.1833204647936488e-05,0.0002738247749595,control_higher
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia|s__Bulleidia_extructa,Bulleidia,Bulleidia extructa,701,694,0.108416547788873,0.0201729106628242,0.0,0.0,0.0,0.2960231658926474,0.0701863325179029,2.468338348451931e-05,0.0002971879371536,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,Anaerotruncus,Anaerotruncus colihominis,701,694,0.4807417974322396,0.3587896253602305,0.0,0.0,0.0,0.7031558973584563,0.1706470847579811,3.780069831393499e-05,0.0004376157766344,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,Eubacterium,Eubacterium sp CAG 251,701,694,0.181169757489301,0.2334293948126801,0.0,0.0,0.0,-0.8488170583554075,0.2108837701590746,5.696396944506158e-05,0.0006350427704801,control_higher
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa,Butyricimonas,Butyricimonas virosa,701,694,0.5877318116975749,0.4985590778097982,0.01084,0.0,0.01084,0.777332224866837,0.194538689078707,6.44838028073049e-05,0.0006796920457096,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_sp_An100,Flavonifractor,Flavonifractor sp An100,701,694,0.0485021398002853,0.0706051873198847,0.0,0.0,0.0,-0.2927014794775139,0.0733209624033119,6.550255351040919e-05,0.0006796920457096,control_higher
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Denitrobacterium|s__Denitrobacterium_detoxificans,Denitrobacterium,Denitrobacterium detoxificans,701,694,0.0599144079885877,0.0677233429394812,0.0,0.0,0.0,-0.2178539616079004,0.0546811858643968,6.774339326009744e-05,0.0006796920457096,control_higher
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_sp_CAG_357,Dialister,Dialister sp CAG 357,701,694,0.0727532097004279,0.1066282420749279,0.0,0.0,0.0,-0.6141610894209377,0.1553122890758651,7.673899267605854e-05,0.0007451108643707,control_higher
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,Proteobacteria_unclassified,Proteobacteria bacterium CAG 139,701,694,0.275320970042796,0.3242074927953891,0.0,0.0,0.0,-0.7583414962591689,0.1939401134051079,9.222590418871352e-05,0.000867499911275,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens,Intestinimonas,Intestinimonas butyriciproducens,701,694,0.5178316690442225,0.4034582132564842,0.00089,0.0,0.00089,0.7183197082277059,0.1848569766025309,0.0001019878448521,0.0009092630180043,CRC_higher
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,Bacteroides,Bacteroides nordii,701,694,0.2396576319543509,0.1368876080691642,0.0,0.0,0.0,0.4951827158394523,0.1274895234476905,0.0001027074505386,0.0009092630180043,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_PC13,Oscillibacter,Oscillibacter sp PC13,701,694,0.0584878744650499,0.0720461095100864,0.0,0.0,0.0,-0.2435684100616883,0.0629126829359574,0.0001081538442651,0.0009301230606802,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,Clostridium,Clostridium sp CAG 253,701,694,0.0699001426533523,0.1037463976945245,0.0,0.0,0.0,-0.4379685872397419,0.1135413723338137,0.0001146239070798,0.0009414117838335,control_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum,Mogibacterium,Mogibacterium diversum,701,694,0.4251069900142653,0.3357348703170029,0.0,0.0,0.0,0.5459574361614801,0.1416225853512213,0.0001157217142918,0.0009414117838335,CRC_higher
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii,Flavonifractor,Flavonifractor plautii,701,694,0.9029957203994294,0.8328530259365994,0.18554,0.10285,0.08269,0.6124553363805069,0.1595061633224674,0.0001231862505672,0.0009757647742297,CRC_higher
