taxon_long,coef_crc_clr_study_only,pvalue_study_only,qvalue_bh_study_only,direction_study_only,genus,species_short,coef_crc_clr_study_age_bmi_gender,se_hc3_coef_crc_clr_study_age_bmi_gender,pvalue_coef_crc_clr_study_age_bmi_gender,qvalue_bh_coef_crc_clr_study_age_bmi_gender,direction_coef_crc_clr_study_age_bmi_gender,baseline_sign,covariate_sign,direction_concordant
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Parvimonas|s__Parvimonas_micra,2.1325455881719457,6.091524866719365e-44,1.8335489848825287e-41,CRC_higher,Parvimonas,Parvimonas micra,2.12979508792393,0.1590684050474014,6.995122172596418e-41,2.1055317739515214e-38,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_morbillorum,1.6986999184552305,7.32679314777202e-37,1.1026823687396887e-34,CRC_higher,Gemella,Gemella morbillorum,1.71791448629854,0.1393807202626549,6.616548038521731e-35,9.957904797975205e-33,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus|s__Peptostreptococcus_stomatis,1.6306151366295143,3.767191819432243e-34,3.779749125497018e-32,CRC_higher,Peptostreptococcus,Peptostreptococcus stomatis,1.685876320728282,0.1394016943344526,1.1409231850603958e-33,1.1447262623439303e-31,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei,1.3085475945613885,9.149574366459132e-25,6.885054710760497e-23,CRC_higher,Solobacterium,Solobacterium moorei,1.294161082134886,0.1328756193264687,2.0427091377271024e-22,1.2297109009117156e-20,CRC_higher,1.0,1.0,True
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_nucleatum,1.2369136601497477,1.1471750478476192e-24,6.905993788042667e-23,CRC_higher,Fusobacterium,Fusobacterium nucleatum,1.1772042548583257,0.1229498749229807,1.0218490497175185e-21,5.126276066082885e-20,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister|s__Dialister_pneumosintes,1.3082623693025242,1.483363255097318e-23,7.44153899640488e-22,CRC_higher,Dialister,Dialister pneumosintes,1.3370939488285298,0.1353878112905244,5.288733282426642e-23,3.979771795026048e-21,CRC_higher,1.0,1.0,True
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0.789509757706969,1.5367944219067057e-12,6.608216014198833e-11,CRC_higher,Porphyromonas,Porphyromonas asaccharolytica,0.8216157811242638,0.1154258492754843,1.0940404590433262e-12,4.704373973886303e-11,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,-1.5743361584329256,5.2142238289575705e-11,1.961851715645286e-09,control_higher,Roseburia,Roseburia intestinalis,-1.6703436568329797,0.2443433229415042,8.140541593974882e-12,2.7225589108738216e-10,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,-1.0418117518631584,1.2347072256970612e-10,4.129409721497949e-09,control_higher,Streptococcus,Streptococcus salivarius,-1.097716134824505,0.1599591797271695,6.767680670494272e-12,2.5463398522734697e-10,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum,1.239985496878374,4.3142343645142037e-10,1.2985845437187754e-08,CRC_higher,Lachnoclostridium,Clostridium symbiosum,1.32699494265965,0.2023745672097865,5.4855742428520615e-11,1.6511578470984703e-09,CRC_higher,1.0,1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_303,-0.7867926856470572,1.742980573856501e-09,4.7694286611891534e-08,control_higher,Roseburia,Roseburia sp CAG 303,-0.8348884140421038,0.1363345319181262,9.13569186973058e-10,2.4998575025353676e-08,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis,-1.4235654451601911,4.9220011208371905e-09,1.2346019478099954e-07,control_higher,Roseburia,Roseburia faecis,-1.4859058788661217,0.2490134252726765,2.4140125936254236e-09,6.055148255677106e-08,control_higher,-1.0,-1.0,True
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,-0.8699076308368622,1.3852903857860734e-08,3.2074800470892933e-07,control_higher,Faecalibacterium,Faecalibacterium prausnitzii,-0.8065352338947813,0.1530333186329265,1.361828530832159e-07,2.732735918536532e-06,control_higher,-1.0,-1.0,True
