Taxon,Direction,CLR coefficient (95% CI),P value,BH q value,CRC prevalence,Control prevalence,Cohort same-direction,Covariate q value,Elastic-net selected folds,Transportability rank
Streptococcus salivarius,control-higher,"-1.042 (-1.359, -0.724)",1.23e-10,4.13e-09,80.2%,87.9%,10/11,2.55e-10,100%,2
Roseburia intestinalis,control-higher,"-1.574 (-2.044, -1.104)",5.21e-11,1.96e-09,52.8%,64.8%,9/11,2.72e-10,100%,4
Faecalibacterium prausnitzii,control-higher,"-0.870 (-1.170, -0.569)",1.39e-08,3.21e-07,93.0%,95.5%,10/11,2.73e-06,100%,5
Roseburia faecis,control-higher,"-1.424 (-1.901, -0.947)",4.92e-09,1.23e-07,62.3%,71.6%,10/11,6.06e-08,100%,6
Eubacterium eligens,control-higher,"-1.331 (-1.818, -0.843)",8.96e-08,1.8e-06,63.2%,70.5%,8/11,9.28e-07,100%,7
Ruthenibacterium lactatiformans,CRC-higher,"0.753 (0.459, 1.048)",5.42e-07,9.59e-06,90.9%,85.7%,8/11,3.39e-06,73%,9
Bacteroides fragilis,CRC-higher,"1.128 (0.634, 1.621)",7.61e-06,0.000109,58.8%,47.1%,9/11,0.00011,100%,11
Butyricimonas virosa,CRC-higher,"0.777 (0.396, 1.159)",6.45e-05,0.00068,58.8%,49.9%,9/11,0.001,100%,13
Flavonifractor plautii,CRC-higher,"0.612 (0.300, 0.925)",0.000123,0.000976,90.3%,83.3%,8/11,0.000145,100%,14
Anaerostipes hadrus,control-higher,"-0.657 (-1.007, -0.307)",0.000231,0.002,82.3%,83.4%,9/11,0.006,100%,16
Intestinimonas butyriciproducens,CRC-higher,"0.718 (0.356, 1.081)",0.000102,0.000909,51.8%,40.3%,7/11,0.000495,100%,17
Fusicatenibacter saccharivorans,control-higher,"-0.579 (-0.941, -0.217)",0.002,0.009,82.9%,84.7%,9/11,0.016,100%,20
Parabacteroides distasonis,CRC-higher,"0.534 (0.156, 0.913)",0.006,0.021,87.6%,82.0%,10/11,0.014,100%,22
Escherichia coli,CRC-higher,"0.789 (0.319, 1.258)",0.001,0.006,75.5%,66.7%,7/11,0.035,73%,23
Blautia wexlerae,control-higher,"-0.446 (-0.740, -0.151)",0.003,0.013,86.3%,87.6%,8/11,0.017,82%,24
Gemmiger formicilis,control-higher,"-0.510 (-0.888, -0.132)",0.008,0.028,68.6%,71.3%,8/11,0.037,100%,27
Bilophila wadsworthia,CRC-higher,"0.522 (0.173, 0.872)",0.003,0.014,69.0%,60.8%,8/11,0.011,64%,28
Bacteroides caccae,CRC-higher,"0.671 (0.170, 1.172)",0.009,0.029,66.2%,58.2%,9/11,0.014,82%,29
Bacteroides thetaiotaomicron,CRC-higher,"0.470 (0.087, 0.854)",0.016,0.047,84.9%,79.4%,10/11,0.043,91%,30
Clostridium bolteae,CRC-higher,"0.550 (0.183, 0.917)",0.003,0.014,67.2%,57.2%,7/11,0.008,91%,31
Alistipes shahii,CRC-higher,"0.556 (0.172, 0.940)",0.005,0.017,67.9%,60.7%,7/11,0.03,100%,33
Bifidobacterium longum,control-higher,"-0.572 (-1.016, -0.128)",0.012,0.035,78.2%,79.4%,8/11,0.09,82%,34
Bifidobacterium adolescentis,control-higher,"-0.721 (-1.249, -0.194)",0.007,0.026,56.1%,59.8%,7/11,0.028,100%,35
Roseburia inulinivorans,control-higher,"-0.493 (-0.915, -0.072)",0.022,0.06,79.3%,81.1%,8/11,0.036,100%,39
Akkermansia muciniphila,CRC-higher,"0.622 (0.131, 1.114)",0.013,0.039,54.4%,48.6%,7/11,0.037,100%,40
Agathobaculum butyriciproducens,control-higher,"-0.412 (-0.734, -0.091)",0.012,0.036,84.9%,85.4%,7/11,0.037,100%,42
Collinsella stercoris,CRC-higher,"0.360 (0.069, 0.651)",0.015,0.045,72.2%,65.3%,7/11,0.054,64%,45
Alistipes finegoldii,CRC-higher,"0.428 (0.023, 0.833)",0.038,0.094,67.8%,64.0%,8/11,0.037,73%,49
Parabacteroides merdae,CRC-higher,"0.546 (0.063, 1.028)",0.027,0.07,73.2%,66.3%,7/11,0.071,73%,51
