Held-out cohort,Training n,Test n,CRC/control in test,AUROC (95% bootstrap CI),Average precision,Bootstrap replicates used,Status
FengQ_2015,1288,107,46/61,"0.799 (0.702, 0.878)",0.77,2000,COMPUTED
GuptaA_2019,1335,60,30/30,"0.821 (0.692, 0.924)",0.875,2000,COMPUTED
HanniganGD_2017,1340,55,27/28,"0.573 (0.414, 0.725)",0.61,2000,COMPUTED
ThomasAM_2018a,1342,53,29/24,"0.714 (0.567, 0.845)",0.74,2000,COMPUTED
ThomasAM_2018b,1335,60,32/28,"0.637 (0.487, 0.778)",0.753,2000,COMPUTED
ThomasAM_2019_c,1315,80,40/40,"0.923 (0.863, 0.971)",0.932,2000,COMPUTED
VogtmannE_2016,1291,104,52/52,"0.696 (0.590, 0.796)",0.746,2000,COMPUTED
WirbelJ_2018,1270,125,60/65,"0.801 (0.721, 0.874)",0.814,2000,COMPUTED
YachidaS_2019,886,509,258/251,"0.698 (0.653, 0.742)",0.719,2000,COMPUTED
YuJ_2015,1267,128,74/54,"0.752 (0.660, 0.830)",0.824,2000,COMPUTED
ZellerG_2014,1281,114,53/61,"0.769 (0.678, 0.853)",0.793,2000,COMPUTED
